,Country,conf_percent,death_percent,gdp,avg_income,agglomerative
0,Afghanistan,0.01,0.0,76.624,378.0,1
1,Albania,0.03,0.0,39.832,1902.0,1
2,Algeria,0.01,0.0,668.827,1392.0,1
3,Angola,0.0,0.0,200.83,720.0,1
4,Argentina,0.02,0.0,911.562,4109.0,1
5,Armenia,0.13,0.0,33.426,926.0,1
6,Australia,0.03,0.0,1362.0729999999999,15026.0,0
7,Austria,0.18,0.01,476.81199999999995,12284.0,0
8,Azerbaijan,0.03,0.0,187.34599999999998,2430.0,1
9,Bahrain,0.38,0.0,76.94,4778.0,1
10,Bangladesh,0.01,0.0,838.554,567.0,1
11,Belarus,0.28,0.0,195.11900000000003,5236.0,1
12,Belgium,0.47,0.08,572.9019999999999,10189.0,0
13,Benin,0.0,0.0,40.643,237.0,1
14,Bolivia,0.03,0.0,93.35700000000001,1403.0,1
15,Botswana,0.0,0.0,43.907,740.0,1
16,Brazil,0.1,0.01,3480.546,2247.0,1
17,Bulgaria,0.03,0.0,170.925,2829.0,1
18,Burkina Faso,0.0,0.0,47.303000000000004,168.0,1
19,Burundi,0.0,0.0,8.711,129.0,1
20,Cambodia,0.0,0.0,76.959,451.0,1
21,Cameroon,0.01,0.0,100.604,403.0,1
22,Canada,0.2,0.01,1904.3929999999998,15181.0,0
23,Chad,0.0,0.0,31.913,338.0,1
24,Chile,0.2,0.0,495.176,2040.0,1
25,China,0.01,0.0,27306.979,1786.0,0
26,Colombia,0.03,0.0,785.836,1534.0,1
27,Comoros,0.0,0.0,2.53,598.0,1
28,Costa Rica,0.02,0.0,92.06200000000001,2032.0,1
29,Croatia,0.05,0.0,112.62299999999999,5177.0,1
30,Cyprus,0.08,0.0,36.915,4932.0,1
31,Czech Republic,0.08,0.0,412.978,7821.0,1
32,Denmark,0.19,0.01,319.491,18262.0,0
33,Dominican Republic,0.11,0.0,199.395,1623.0,1
34,Ecuador,0.18,0.01,203.611,1682.0,1
35,Egypt,0.01,0.0,1391.271,623.0,1
36,El Salvador,0.02,0.0,55.578,1114.0,1
37,Estonia,0.13,0.0,47.806999999999995,5031.0,1
38,Finland,0.11,0.01,265.879,15725.0,0
39,France,0.22,0.04,3061.815,12445.0,0
40,Georgia,0.02,0.0,47.91,734.0,1
41,Germany,0.21,0.01,4443.569,14098.0,0
42,Ghana,0.02,0.0,204.813,47.0,1
43,Greece,0.03,0.0,323.653,6086.0,1
44,Guatemala,0.01,0.0,152.779,898.0,1
45,Haiti,0.0,0.0,20.842,627.0,1
46,Honduras,0.02,0.0,51.385,821.0,1
47,Hungary,0.04,0.0,335.75199999999995,4493.0,1
48,India,0.01,0.0,11043.18,616.0,1
49,Indonesia,0.01,0.0,3735.6440000000002,541.0,1
50,Israel,0.19,0.0,354.87800000000004,7847.0,1
