Country,Deaths_exp
Andorra,False
United Arab Emirates,False
Afghanistan,False
Albania,True
Armenia,False
Angola,True
Argentina,True
Austria,False
Australia,False
Aruba,False
Azerbaijan,False
Bosnia and Herzegovina,True
Bangladesh,True
Belgium,False
Burkina Faso,False
Bulgaria,True
Bahrain,True
Benin,False
Bolivia,False
Brazil,True
Bahamas,False
Botswana,False
Belarus,True
Belize,True
Canada,False
Democratic Republic of the Congo,False
Central African Republic,False
Republic of the Congo,False
Switzerland,False
Ivory Coast,False
Chile,False
Cameroon,False
China,False
Colombia,True
Costa Rica,True
Cuba,False
Cape Verde,True
Cyprus,False
Czech Republic,True
Germany,False
Djibouti,False
Denmark,False
Dominican Republic,True
Algeria,True
Ecuador,True
Estonia,False
Egypt,False
Ethiopia,False
Finland,False
France,False
Gabon,False
United Kingdom,False
Georgia,True
French Guiana,False
Guernsey,False
Ghana,False
Gambia,False
Guinea,True
Equatorial Guinea,False
Greece,False
Guatemala,True
Guam,True
Guinea-Bissau,False
Guyana,True
Honduras,True
Croatia,False
Haiti,False
Hungary,False
Indonesia,True
Ireland,False
Israel,True
Isle of Man,False
India,True
Iraq,False
Iran,True
Iceland,False
Italy,False
Jersey,False
Jamaica,False
Jordan,True
Japan,False
Kenya,True
Kyrgyzstan,False
South Korea,False
Kuwait,True
Kazakhstan,False
Lebanon,True
Sri Lanka,True
Liberia,False
Lesotho,False
Lithuania,False
Luxembourg,False
Latvia,False
Libya,True
Morocco,True
Moldova,True
Montenegro,True
Madagascar,False
Macedonia,True
Mali,False
Myanmar,False
Martinique,True
Mauritania,False
Malta,False
Maldives,False
Malawi,False
Mexico,True
Malaysia,False
Mozambique,True
Niger,False
Nigeria,False
Nicaragua,False
Netherlands,False
Norway,False
Nepal,True
New Zealand,False
Oman,True
Panama,True
Peru,False
French Polynesia,False
Philippines,True
Pakistan,False
Poland,False
Puerto Rico,True
Palestine,True
Portugal,False
Paraguay,True
Qatar,False
Réunion,False
Romania,True
Serbia,False
Russia,True
Rwanda,False
Saudi Arabia,True
Sudan,False
Sweden,False
Singapore,False
Slovenia,False
Slovakia,True
Sierra Leone,False
San Marino,False
Senegal,False
Somalia,False
Suriname,False
South Sudan,False
São Tomé and Príncipe,False
El Salvador,True
Sint Maarten,False
Syria,True
Swaziland,False
Chad,False
Togo,False
Thailand,False
Tajikistan,False
Tunisia,True
Turkey,False
Trinidad and Tobago,False
Tanzania,False
Ukraine,True
Uganda,True
United States of America,True
Uruguay,True
Uzbekistan,False
Venezuela,True
United States Virgin Islands,False
Vietnam,False
Yemen,False
Mayotte,False
South Africa,False
Zambia,False
Zimbabwe,False
Spain,False
Namibia,False
Kosovo,False
Hong Kong,False
