Country,ISO,Сумма Процент зараженных,Сумма Процент смертей,Сумма ВВП,Среднедушевой доход
,,,,,39274
Afghanistan,AFG,"0,01%","0,00%",76.624,378
Albania,ALB,"0,03%","0,00%",39.832,1902
Algeria,DZA,"0,01%","0,00%",668.827,1392
Angola,AGO,"0,00%","0,00%",200.83,720
Antigua and Barbuda,ATG,"0,03%","0,00%",2.767,
Argentina,ARG,"0,02%","0,00%",911.562,4109
Armenia,ARM,"0,13%","0,00%",33.426,926
Aruba,ABW,"0,10%","0,00%",4.472,
Australia,AUS,"0,03%","0,00%",1362.073,15026
Austria,AUT,"0,18%","0,01%",476.812,12284
Azerbaijan,AZE,"0,03%","0,00%",187.346,2430
Bahrain,BHR,"0,38%","0,00%",76.94,4778
Bangladesh,BGD,"0,01%","0,00%",838.554,567
Barbados,BRB,"0,03%","0,00%",5.432,
Belarus,BLR,"0,28%","0,00%",195.119,5236
Belgium,BEL,"0,47%","0,08%",572.902,10189
Belize,BLZ,"0,00%","0,00%",3.358,
Benin,BEN,"0,00%","0,00%",40.643,237
Bhutan,BTN,"0,00%","0,00%",7.937,
Bolivia,BOL,"0,03%","0,00%",93.357,1403
Bosnia and Herzegovina,BIH,"0,07%","0,00%",49.727,
Botswana,BWA,"0,00%","0,00%",43.907,740
Brazil,BRA,"0,10%","0,01%",3480.546,2247
Brunei Darussalam,BRN,,,36.631,
Bulgaria,BGR,"0,03%","0,00%",170.925,2829
Burkina Faso,BFA,"0,00%","0,00%",47.303,168
Burundi,BDI,"0,00%","0,00%",8.711,129
Cabo Verde,CPV,,,4.343,
Cambodia,KHM,"0,00%","0,00%",76.959,451
Cameroon,CMR,"0,01%","0,00%",100.604,403
Canada,CAN,"0,20%","0,01%",1904.393,15181
Central African Republic,CAF,"0,00%","0,00%",4.199,
Chad,TCD,"0,00%","0,00%",31.913,338
Chile,CHL,"0,20%","0,00%",495.176,2040
China,CHN,"0,01%","0,00%",27306.979,1786
Colombia,COL,"0,03%","0,00%",785.836,1534
Comoros,COM,"0,00%","0,00%",2.53,598
Costa Rica,CRI,"0,02%","0,00%",92.062,2032
Croatia,HRV,"0,05%","0,00%",112.623,5177
Cyprus,CYP,"0,08%","0,00%",36.915,4932
Czech Republic,CZE,"0,08%","0,00%",412.978,7821
Cфte d'Ivoire,CIV,,,158.288,
Democratic Republic of the Congo,COD,"0,00%","0,00%",83.151,
Denmark,DNK,"0,19%","0,01%",319.491,18262
Djibouti,DJI,"0,13%","0,00%",6.259,
Dominica,DMA,"0,02%","0,00%",0.848,
Dominican Republic,DOM,"0,11%","0,00%",199.395,1623
Ecuador,ECU,"0,18%","0,01%",203.611,1682
Egypt,EGY,"0,01%","0,00%",1391.271,623
El Salvador,SLV,"0,02%","0,00%",55.578,1114
