,Country,Confirmed,Deaths
2020-11-11,Andorra,5170.0,56.0
2020-11-12,Andorra,5253.0,56.0
2020-11-13,Andorra,5337.0,56.0
2020-11-14,Andorra,5423.0,56.0
2020-11-15,Andorra,5509.0,56.0
2020-11-16,Andorra,5597.0,56.0
2020-11-17,Andorra,5686.0,56.0
2020-11-18,Andorra,5777.0,56.0
2020-11-19,Andorra,5868.0,56.0
2020-11-20,Andorra,5962.0,56.0
2020-11-21,Andorra,6056.0,56.0
2020-11-22,Andorra,6152.0,56.0
2020-11-23,Andorra,6249.0,56.0
2020-11-24,Andorra,6348.0,56.0
2020-11-25,Andorra,6448.0,56.0
2020-11-26,Andorra,6550.0,56.0
2020-11-27,Andorra,6653.0,56.0
2020-11-28,Andorra,6757.0,56.0
2020-11-29,Andorra,6863.0,56.0
2020-11-30,Andorra,6971.0,56.0
2020-12-01,Andorra,7080.0,56.0
2020-12-02,Andorra,7191.0,56.0
2020-12-03,Andorra,7303.0,56.0
2020-12-04,Andorra,7417.0,56.0
2020-12-05,Andorra,7533.0,56.0
2020-12-06,Andorra,7650.0,56.0
2020-12-07,Andorra,7769.0,56.0
2020-12-08,Andorra,7890.0,56.0
2020-12-09,Andorra,8012.0,56.0
2020-12-10,Andorra,8136.0,56.0
2020-11-11,United Arab Emirates,139620.0,449.0
2020-11-12,United Arab Emirates,140650.0,449.0
2020-11-13,United Arab Emirates,141684.0,450.0
2020-11-14,United Arab Emirates,142723.0,450.0
2020-11-15,United Arab Emirates,143767.0,450.0
2020-11-16,United Arab Emirates,144815.0,450.0
2020-11-17,United Arab Emirates,145867.0,450.0
2020-11-18,United Arab Emirates,146924.0,451.0
2020-11-19,United Arab Emirates,147986.0,451.0
2020-11-20,United Arab Emirates,149052.0,451.0
2020-11-21,United Arab Emirates,150122.0,451.0
2020-11-22,United Arab Emirates,151197.0,451.0
2020-11-23,United Arab Emirates,152276.0,452.0
2020-11-24,United Arab Emirates,153360.0,452.0
2020-11-25,United Arab Emirates,154449.0,452.0
2020-11-26,United Arab Emirates,155541.0,452.0
2020-11-27,United Arab Emirates,156639.0,452.0
2020-11-28,United Arab Emirates,157740.0,453.0
2020-11-29,United Arab Emirates,158846.0,453.0
2020-11-30,United Arab Emirates,159957.0,453.0
2020-12-01,United Arab Emirates,161072.0,453.0
2020-12-02,United Arab Emirates,162191.0,453.0
2020-12-03,United Arab Emirates,163315.0,453.0
2020-12-04,United Arab Emirates,164443.0,454.0
2020-12-05,United Arab Emirates,165576.0,454.0
2020-12-06,United Arab Emirates,166713.0,454.0
2020-12-07,United Arab Emirates,167854.0,454.0
2020-12-08,United Arab Emirates,169000.0,454.0
